User-ID,ISBN,Rating,book_id
2,0195153448,0.0,8968
7,034542252,0.0,8969
8,0002005018,2.5,8970
8,0060973129,0.0,8971
8,0374157065,0.0,8972
8,0393045218,0.0,8973
8,0399135782,0.0,8974
8,0425176428,0.0,8975
8,0671870432,0.0,8976
8,0679425608,0.0,8977
8,074322678X,2.5,8978
8,0771025661,0.0,8979
8,0771074670,0.0,8980
8,080652121X,0.0,8981
8,0887841740,2.5,8982
8,1552041778,2.5,8983
8,1558746218,0.0,8984
8,1567407781,3.0,8985
8,1575663937,3.0,8986
8,1881320189,3.5,8987
9,0440234743,0.0,2032
9,0452264464,3.0,2675
9,0609804618,0.0,8988
10,1841721522,0.0,8989
10,8477024456,3.0,8990
12,1879384493,5.0,8991
14,0061076031,2.5,4122
14,0439095026,2.5,8992
14,0689821166,3.0,8993
14,0971880107,0.0,453
16,0345402871,4.5,3051
16,0345417623,0.0,3053
17,0312978383,0.0,8994
17,0425099148,3.5,8995
17,0553264990,2.5,8996
17,0553278398,0.0,8997
17,0684823802,0.0,8998
17,0891075275,3.0,7954
17,0891076182,1.5,8999
19,0375759778,3.5,9000
20,0425163091,0.0,9001
22,3404921038,3.5,9002
22,3442353866,0.0,9003
22,3442410665,0.0,9004
22,3442446937,0.0,9005
23,0375406328,0.0,1090
26,0446310786,5.0,642
26,0449005615,4.5,2698
32,0060168013,4.0,9006
32,038078243X,0.0,9007
32,055321215X,0.0,9008
36,067176537X,0.0,9009
38,8807016354,0.0,9010
38,8887913056,0.0,9011
39,0061099686,0.0,9012
39,0553582909,4.0,9013
39,0671888587,3.5,2090
42,0553582747,3.5,9014
44,0425182908,0.0,4015
44,042518630X,0.0,5837
44,0440223571,4.0,3630
44,0812523873,0.0,9015
44,0842342702,0.0,9016
51,0440225701,4.5,961
53,0060914068,1.5,9017
53,0156047624,5.0,9018
53,0245542957,3.0,9019
53,0380715899,4.5,9020
53,0553280333,0.0,9021
53,0961769947,0.0,9022
53,0964778319,0.0,9023
56,0671623249,3.5,9024
56,0679810307,0.0,9025
56,0679865691,4.5,9026
64,2070423204,3.5,9027
67,0345260317,0.0,9028
67,0394743741,3.5,9029
67,042511774X,0.0,1102
67,0804106304,0.0,449
68,1853262404,0.0,456
69,0312970242,0.0,9030
69,0617683993,3.0,9031
69,0676973655,1.5,9032
69,0770428827,0.0,9033
69,0773670637,0.0,9034
69,1853260053,4.0,8356
70,1414035004,5.0,9035
73,0060938412,2.5,9036
75,0140067477,0.0,1455
75,0345465083,0.0,9037
75,0451625889,0.0,9038
75,1558531025,2.5,8959
77,0441783589,0.0,9039
78,0394895894,4.0,9040
79,1569871213,0.0,9041
81,0375410538,2.5,9042
82,0966986105,5.0,9043
83,087113375X,3.5,9044
85,0340767936,2.5,9045
85,0743403843,0.0,9046
86,0060930365,2.0,9047
87,0060177586,0.0,9048
87,0071416331,4.0,9049
87,0375509038,4.0,9050
88,0553062042,3.5,9051
91,0316769487,4.5,2649
92,8445071408,3.5,9052
92,8445071769,4.0,9053
92,8445071777,5.0,9054
95,0679429220,0.0,2919
97,0671867156,3.5,9055
99,0312252617,4.0,3774
99,0312261594,4.0,9056
99,0316748641,3.5,9057
99,0316973742,0.0,9058
99,0385235941,3.0,9059
99,0446677450,5.0,9060
99,0451166892,1.5,30
99,0553347594,4.5,9061
99,0671621009,5.0,9062
99,067976397X,0.0,2595
99,0684822733,0.0,9063
99,0786868716,0.0,2102
100,0431111110,0.0,9064
102,8472238822,3.5,9065
107,0671864769,4.0,9066
109,0671521519,2.5,9067
110,0440222303,3.0,9068
114,0312953453,3.5,9069
114,0446608653,4.5,9070
114,0446612545,4.5,3544
114,0446612618,4.0,9071
114,0451208080,4.0,9072
114,0553584383,4.5,9073
114,0671027360,5.0,1917
114,0812575954,2.5,9074
125,0679429220,5.0,2919
129,0316735736,3.5,9075
132,0743439740,0.0,9076
133,0345372700,5.0,9077
133,0380619458,0.0,9078
133,0446325805,0.0,9079
135,0451406923,0.0,9080
135,0671042858,0.0,1043
137,0771024894,3.0,9081
139,0143034359,0.0,9082
139,0316778508,0.0,9083
139,0743249992,0.0,9084
141,0840734530,5.0,9085
144,0425184226,0.0,3933
151,0375500766,0.0,9086
160,8573022876,3.0,9087
160,8573024771,4.0,9088
160,9722322702,3.5,9089
160,9724111989,0.0,9090
160,9724119378,0.0,9091
160,9724222500,0.0,9092
160,9724227030,0.0,9093
160,9727110843,4.0,9094
160,9727114962,3.5,9095
160,9728579225,4.0,9096
162,0451205197,2.5,9097
165,0060929790,0.0,9098
165,0060976845,4.5,1315
165,0061099325,2.0,9099
165,0446612545,2.5,3544
165,0671004573,0.0,9100
169,0446601640,3.5,6147
176,0330484516,0.0,9101
176,038572179X,0.0,9102
176,0393020371,0.0,9103
176,1900850303,2.0,9104
176,1903019699,0.0,9105
178,0345425294,0.0,9106
178,0451410319,3.0,9107
